Canonical name,Expected,Levenstein,,all-MiniLM-L6-v2,,waynedsouza/only_names,,
Betty,Elizabeth,Benjamin,0.31,Elizabeth,0.52,Benjamin,0.97,-
William,William,William,1,William,1.00,William,1.00,
Will,William,William,0.73,William,0.26,William,0.98,
Bill,William,William,0.55,William,0.52,Benjamin,0.87,
Billy,William,William,0.5,Benjamin,0.47,Benjamin,0.92,
Willy,William,William,0.67,Jonathan,0.51,William,0.99,
Liam,William,William,0.55,Benjamin,0.49,Jonathan,0.16,
Guillaume,William,William,0.62,William,0.54,Jonathan,0.08,
Wilhelm,William,William,0.71,William,0.57,William,0.97,
Wil,William,William,0.6,William,0.45,William,0.99,
Wills,William,William,0.67,William,0.45,William,0.99,
Alexander,Alexander,Alexander,1,Alexander,1.00,Alexander,1.00,
Alex,Alexander,Alexander,0.62,Jonathan,0.62,Alexander,1.00,
Lex,Alexander,Alexander,0.33,Christina,0.46,Jonathan,0.18,
Xander,Alexander,Alexander,0.67,Jonathan,0.39,Elizabeth,0.85,
Sandy,Alexander,Alexander,0.43,Michael,0.37,Michael,0.18,
Alejandro,Alexander,Alexander,0.78,Alexander,0.56,Alexander,0.99,
Al,Alexander,Alexander,0.36,Alexander,0.39,Alexander,0.99,
Sascha,Alexander,Michael,0.46,Victoria,0.28,Michael,0.19,-
Alec,Alexander,Alexander,0.46,Jonathan,0.49,Alexander,0.99,
Aleks,Alexander,Alexander,0.43,Alexander,0.29,Alexander,0.98,
Victoria,Victoria,Victoria,1,Victoria,1.00,Victoria,1.00,
Vicky,Victoria,Victoria,0.46,Victoria,0.59,Victoria,1.00,
Vicki,Victoria,Victoria,0.62,Christina,0.49,Victoria,1.00,
Vik,Victoria,Victoria,0.36,Michael,0.34,Victoria,1.00,
Tori,Victoria,Victoria,0.5,Katherine,0.44,Isabella,0.11,
Toria,Victoria,Victoria,0.62,Katherine,0.42,Elizabeth,0.15,
Vika,Victoria,Victoria,0.5,Alexander,0.35,Victoria,1.00,
Vittoria,Victoria,Victoria,0.88,Isabella,0.36,Victoria,1.00,
Vic,Victoria,Victoria,0.55,Victoria,0.55,Victoria,1.00,
Vikky,Victoria,Victoria,0.31,Jonathan,0.30,Victoria,0.99,
Benjamin,Benjamin,Benjamin,1,Benjamin,1.00,Benjamin,1.00,
Ben,Benjamin,Benjamin,0.55,Benjamin,0.73,Benjamin,0.98,
Benny,Benjamin,Benjamin,0.62,Jonathan,0.43,Benjamin,0.99,
Benji,Benjamin,Benjamin,0.77,Benjamin,0.54,Benjamin,0.99,
Benjie,Benjamin,Benjamin,0.71,Benjamin,0.50,Benjamin,0.99,
Benj,Benjamin,Benjamin,0.67,Benjamin,0.57,Benjamin,0.98,
Benoit,Benjamin,Benjamin,0.57,Jonathan,0.30,Benjamin,0.99,
Benson,Benjamin,Benjamin,0.57,Jonathan,0.47,Benjamin,0.99,
Benno,Benjamin,Benjamin,0.62,Benjamin,0.48,Benjamin,0.99,
Benn,Benjamin,Benjamin,0.67,Benjamin,0.57,Benjamin,0.99,
Isabella,Isabella,Isabella,1,Isabella,1.00,Isabella,1.00,
Bella,Isabella,Isabella,0.62,Isabella,0.56,Benjamin,0.98,
Belle,Isabella,Isabella,0.46,Katherine,0.43,Benjamin,0.98,
Isa,Isabella,Isabella,0.55,Isabella,0.50,Isabella,0.96,
Izzy,Isabella,Isabella,0.17,Alexander,0.55,Isabella,0.95,
Isabelle,Isabella,Isabella,0.88,Elizabeth,0.54,Isabella,0.98,
Isabel,Isabella,Isabella,0.86,Isabella,0.72,Isabella,0.94,
Ysabel,Isabella,Isabella,0.71,Jonathan,0.37,Jonathan,0.37,
Sabella,Isabella,Isabella,0.8,Isabella,0.44,Michael,0.19,
Sabby,Isabella,Isabella,0.31,Jonathan,0.31,Michael,0.19,
Harold,,Michael,0.31,William,0.55,Christina,0.08,
Jessica,,Michael,0.43,Christina,0.52,Jonathan,0.94,
Derek,,Katherine,0.43,Jonathan,0.47,William,0.08,
Monica,,Michael,0.62,Elizabeth,0.52,Michael,0.99,
Eric,,Michael,0.36,Michael,0.52,Alexander,0.99,
Sandra,,Alexander,0.53,Christina,0.51,Michael,0.19,
Patrick,,Katherine,0.5,Benjamin,0.43,William,0.12,
Melissa,,William,0.43,Christina,0.62,Michael,0.98,
Andrew,,Alexander,0.53,William,0.56,Alexander,0.99,
Deborah,,Victoria,0.4,Christina,0.54,William,0.07,
